размеры массива;BubbleSortOptimizedI от 0 до 5;BubbleSortOptimizedI от 0 до 4000;BubbleSortOptimizedI почти отсортированный;BubbleSortOptimizedI отсортированный в обратном порядке;InsertionSort от 0 до 5;InsertionSort от 0 до 4000;InsertionSort почти отсортированный;InsertionSort отсортированный в обратном порядке;BubbleSort от 0 до 5;BubbleSort от 0 до 4000;BubbleSort почти отсортированный;BubbleSort отсортированный в обратном порядке;SelectionSort от 0 до 5;SelectionSort от 0 до 4000;SelectionSort почти отсортированный;SelectionSort отсортированный в обратном порядке;CountingSort от 0 до 5;CountingSort от 0 до 4000;CountingSort почти отсортированный;CountingSort отсортированный в обратном порядке;RadixSort от 0 до 5;RadixSort от 0 до 4000;RadixSort почти отсортированный;RadixSort отсортированный в обратном порядке;ShellSortCiuraSequence от 0 до 5;ShellSortCiuraSequence от 0 до 4000;ShellSortCiuraSequence почти отсортированный;ShellSortCiuraSequence отсортированный в обратном порядке;ShellSortShellSequence от 0 до 5;ShellSortShellSequence от 0 до 4000;ShellSortShellSequence почти отсортированный;ShellSortShellSequence отсортированный в обратном порядке;BubbleSortOptimizedII от 0 до 5;BubbleSortOptimizedII от 0 до 4000;BubbleSortOptimizedII почти отсортированный;BubbleSortOptimizedII отсортированный в обратном порядке;HeapSort от 0 до 5;HeapSort от 0 до 4000;HeapSort почти отсортированный;HeapSort отсортированный в обратном порядке;BinaryInsertionSort от 0 до 5;BinaryInsertionSort от 0 до 4000;BinaryInsertionSort почти отсортированный;BinaryInsertionSort отсортированный в обратном порядке;QuickSort от 0 до 5;QuickSort от 0 до 4000;QuickSort почти отсортированный;QuickSort отсортированный в обратном порядке;MergeSort от 0 до 5;MergeSort от 0 до 4000;MergeSort почти отсортированный;MergeSort отсортированный в обратном порядке
50;19160.0;17160.0;15640.0;17920.0;10240.0;7840.0;7640.0;11600.0;18760.0;15760.0;15320.0;16520.0;11600.0;10800.0;10720.0;10400.0;7720.0;48040.0;48000.0;7440.0;8600.0;10480.0;9600.0;9720.0;7920.0;6440.0;6520.0;5720.0;8760.0;6320.0;6320.0;5520.0;14920.0;14080.0;13640.0;16520.0;4000.0;4120.0;4240.0;4280.0;8840.0;8640.0;8800.0;9120.0;7760.0;6920.0;6920.0;12280.0;16120.0;15920.0;16200.0;14280.0
100;44880.0;49600.0;50840.0;51440.0;16560.0;20280.0;21040.0;35000.0;45880.0;49720.0;50040.0;51440.0;26280.0;28160.0;27680.0;30440.0;6880.0;49120.0;49440.0;8000.0;8280.0;13520.0;13920.0;14040.0;9000.0;11040.0;10720.0;7880.0;9840.0;12320.0;11400.0;8600.0;43000.0;48600.0;47760.0;55120.0;9440.0;9440.0;9520.0;9640.0;15320.0;20440.0;21360.0;25560.0;11240.0;10840.0;10560.0;36720.0;31640.0;33120.0;32120.0;28760.0
150;97360.0;105640.0;106080.0;110440.0;32680.0;40280.0;39400.0;72520.0;98720.0;105320.0;106120.0;110320.0;51480.0;55880.0;55840.0;62800.0;6760.0;48800.0;49000.0;8120.0;7360.0;16720.0;16920.0;16720.0;11320.0;15200.0;15120.0;9880.0;13120.0;16560.0;15800.0;11960.0;96280.0;102240.0;102720.0;119520.0;14040.0;15880.0;15640.0;15360.0;28160.0;36760.0;36000.0;52400.0;17560.0;15240.0;14840.0;75160.0;45520.0;46800.0;46680.0;40520.0
200;170560.0;189240.0;182560.0;192760.0;58120.0;68080.0;62040.0;130280.0;174680.0;186680.0;184000.0;193120.0;87800.0;92280.0;93480.0;108240.0;7640.0;49360.0;49720.0;9600.0;8720.0;21320.0;20880.0;21360.0;14240.0;20640.0;20520.0;12880.0;16520.0;23160.0;22800.0;15040.0;169000.0;185200.0;175800.0;210000.0;20600.0;21960.0;22280.0;21840.0;47720.0;59400.0;55200.0;87880.0;26720.0;20080.0;19200.0;130360.0;61600.0;64680.0;64680.0;55680.0
250;271160.0;289360.0;284440.0;301000.0;87160.0;100080.0;100200.0;196000.0;281280.0;289040.0;284000.0;298800.0;136520.0;140640.0;141680.0;173000.0;8520.0;50160.0;51280.0;11040.0;10240.0;25240.0;25080.0;27040.0;18120.0;25760.0;25920.0;16760.0;20160.0;27800.0;28120.0;17880.0;261880.0;275840.0;278800.0;324560.0;25440.0;28960.0;28760.0;27840.0;72080.0;84480.0;80840.0;133880.0;36640.0;24560.0;25080.0;201680.0;72760.0;75640.0;75640.0;65200.0
300;396480.0;420960.0;419960.0;430480.0;123080.0;144520.0;143320.0;279320.0;397280.0;419840.0;420720.0;428320.0;192440.0;199640.0;198960.0;238280.0;9200.0;51200.0;52640.0;13000.0;11160.0;29240.0;29480.0;28760.0;21080.0;30880.0;34680.0;19160.0;24240.0;36840.0;35280.0;23000.0;382880.0;405960.0;395200.0;468200.0;31640.0;35440.0;35280.0;34120.0;102680.0;118160.0;116400.0;191840.0;48880.0;30640.0;30120.0;286840.0;91040.0;95840.0;95680.0;81560.0
