размеры массива;BubbleSortOptimizedI от 0 до 5;BubbleSortOptimizedI от 0 до 4000;BubbleSortOptimizedI почти отсортированный;BubbleSortOptimizedI отсортированный в обратном порядке;InsertionSort от 0 до 5;InsertionSort от 0 до 4000;InsertionSort почти отсортированный;InsertionSort отсортированный в обратном порядке;BubbleSort от 0 до 5;BubbleSort от 0 до 4000;BubbleSort почти отсортированный;BubbleSort отсортированный в обратном порядке;SelectionSort от 0 до 5;SelectionSort от 0 до 4000;SelectionSort почти отсортированный;SelectionSort отсортированный в обратном порядке;CountingSort от 0 до 5;CountingSort от 0 до 4000;CountingSort почти отсортированный;CountingSort отсортированный в обратном порядке;RadixSort от 0 до 5;RadixSort от 0 до 4000;RadixSort почти отсортированный;RadixSort отсортированный в обратном порядке;ShellSortCiuraSequence от 0 до 5;ShellSortCiuraSequence от 0 до 4000;ShellSortCiuraSequence почти отсортированный;ShellSortCiuraSequence отсортированный в обратном порядке;ShellSortShellSequence от 0 до 5;ShellSortShellSequence от 0 до 4000;ShellSortShellSequence почти отсортированный;ShellSortShellSequence отсортированный в обратном порядке;BubbleSortOptimizedII от 0 до 5;BubbleSortOptimizedII от 0 до 4000;BubbleSortOptimizedII почти отсортированный;BubbleSortOptimizedII отсортированный в обратном порядке;HeapSort от 0 до 5;HeapSort от 0 до 4000;HeapSort почти отсортированный;HeapSort отсортированный в обратном порядке;BinaryInsertionSort от 0 до 5;BinaryInsertionSort от 0 до 4000;BinaryInsertionSort почти отсортированный;BinaryInsertionSort отсортированный в обратном порядке;QuickSort от 0 до 5;QuickSort от 0 до 4000;QuickSort почти отсортированный;QuickSort отсортированный в обратном порядке;MergeSort от 0 до 5;MergeSort от 0 до 4000;MergeSort почти отсортированный;MergeSort отсортированный в обратном порядке
2800;37314750;39113216;39331414;47039994;13566975;15594535;15963663;31373991;36438165;37198500;37336923;43115796;15702223;15717237;15717622;17655394;70065;113999;113999;100799;89667;316691;316693;316677;207527;379427;384467;273687;291793;504623;507103;368893;35152714;37042953;37367527;47037196;629868;725891;725324;709722;8272381;7815941;8000433;15705189;4003751;300899;329563;31382388;5;3999;4000;4100
2900;39879980;41995498;42147182;50459994;14417211;16748171;17120875;33654491;39036666;39910776;40050540;46250646;16843005;16858627;16858658;18938444;72565;116499;116499;104399;92867;327991;327993;327977;215167;396157;398417;296287;293543;515533;528303;380293;37420480;39854363;40072095;50457096;657511;756317;755123;739155;8824769;8393449;8579709;16846089;4292395;342301;324058;33663188;5;3999;4000;4100
3000;42783466;44932358;45087862;53999994;15450167;17905927;18196655;36014991;41783687;42704597;42813620;49495496;18023823;18040762;18040458;20266494;75065;118999;118999;107999;96067;339291;339293;339277;223627;412637;416267;289487;303711;520961;550621;397021;40312581;42643585;42832125;53996996;680966;786009;785243;768087;9454077;8973025;9118313;18026989;4599697;367534;342559;36023988;5;3999;4000;4100
3100;45659210;47923990;48078666;57659994;16447915;19026395;19381443;38455491;44597505;45564435;45697578;52850346;19244531;19261921;19261183;21639544;77565;121499;121499;111599;99267;350591;350593;350577;231557;425867;432577;311807;316595;720955;702845;402885;43029913;45438926;45576930;57656896;708849;817009;815625;799482;10072649;9533961;9711437;19247889;4941997;404980;342119;38464788;5;3999;4000;4100
3200;48648316;51128372;51217498;61439994;17541287;20379879;20578727;40975991;47527182;48591654;48666222;56315196;20505421;20523390;20522690;23057594;80065;123999;123999;115199;102467;361891;361893;361877;239967;439507;448467;312427;362249;713239;734159;419269;45838950;48447089;48605518;61436796;734010;845725;845308;828078;10746033;10211393;10310805;20508789;5221545;350341;368671;40985588;5;3999;4000;4100
3300;51613332;54364686;54455688;65339994;18598467;21684003;21826491;43576491;50523287;51680363;51733796;59890046;21806188;21824714;21824492;24520644;82565;126499;126499;118799;105667;373191;373193;373177;249367;460927;465897;335167;341223;636723;608233;456773;48499475;51608180;51685457;65336696;760174;875914;875881;856295;11408093;10864133;10935405;21809689;5554187;378528;367349;43586388;5;3999;4000;4100
3400;54900384;57603458;57807144;69359994;19724871;23018447;23154559;46256991;53625351;54860442;54911484;63574896;23146945;23165700;23165523;26028694;85065;128999;129010;122399;108867;384491;384493;384477;257467;477497;479817;359767;352285;630665;624325;447885;51681983;54663781;54890925;69356596;785646;906080;905785;886207;12105665;11532073;11600157;23150589;5883737;412957;446729;46267188;5;3999;4000;4100
3500;58132108;61184238;61226484;73499994;20919811;24389579;24472083;49017491;56833116;58134279;58165218;67369746;24527704;24547334;24547470;27581744;87565;131499;131510;125999;112067;395791;395793;395777;266207;496937;503547;366967;348231;650351;655671;459701;54700167;58064435;58130273;73496496;812009;936044;936969;917732;12847985;12218349;12259645;24531489;6236167;403558;383452;49027988;5;3999;4000;4100
3600;61549158;64759922;64692850;77759994;22102047;25867775;25812311;51857991;60116117;61528265;61507466;71274596;25948528;25968085;25968317;29179794;90065;133999;134010;129599;115267;407091;407093;407077;274087;517167;517637;380467;383387;763987;763267;491277;57963159;61476073;61388649;77756396;836565;966909;965993;946348;13590753;12958157;12930461;25952389;6585063;389369;412070;51868788;5;3999;4000;4100
3700;64837702;68401868;68335470;82139994;23162907;27303427;27307243;54778491;63433602;64986297;64987728;75289446;27409306;27430231;27429918;30822844;92565;136499;136510;133199;118467;418391;418393;418377;282857;530797;533717;383267;375051;690111;697781;496941;60919913;64958515;64899013;82136296;861695;996745;995219;974960;14279661;13676685;13678645;27413289;6979333;424420;427274;54789588;5;3999;4000;4100
3800;68488246;72141104;71955866;86639994;24367495;28881999;28781383;57778991;66884985;68577924;68540193;79414296;28910105;28931849;28932047;32510894;95065;138999;139010;136799;121667;429691;429693;429677;291537;535627;548517;397107;386981;696481;685411;509501;64488910;68423400;68265269;86636196;889584;1026595;1027319;1006675;15041989;14466717;14416413;28914189;7377115;442457;459325;57790388;5;3999;4000;4100
3900;72096282;75993790;76020766;91259994;25619667;30393683;30384635;60859491;70434212;72224468;72221075;83649146;30450887;30473146;30473172;34243944;97565;141499;141510;140399;124867;440991;440993;440977;300117;558137;564297;406547;391599;725889;709509;536509;67820874;72107415;72187566;91256096;915601;1057047;1057781;1037372;15820373;15223289;15218765;30455089;7715147;493120;445684;60871188;5;3999;4000;4100
4000;75785504;79912114;79948784;95999994;26788919;31969719;31988623;64019991;74032344;75975144;75982233;87993996;32031613;32054851;32054343;36021994;100065;143999;144010;143999;128067;452291;452293;452277;308757;573327;581357;417147;428213;817693;780333;548093;71276023;75777216;75906282;95995996;940944;1087036;1087162;1066928;16565593;16012029;16021493;32035989;8144909;468884;473981;64031988;5;3999;4000;4100
4100;79638966;84039218;83776146;100859994;28149203;33659539;33349827;67260491;77782113;79848489;79732347;92448846;33652419;33676059;33676132;37845044;102565;146499;146510;147599;131267;463591;463593;463577;319247;596237;594167;466447;516575;1367055;1386985;565865;74954290;79820762;79404990;100855896;965199;1118266;1118732;1096314;17407133;16857669;16702837;33656889;8599811;486037;459464;67272788;5;3999;4000;4100
