размеры массива;BubbleSortOptimizedI от 0 до 5;BubbleSortOptimizedI от 0 до 4000;BubbleSortOptimizedI почти отсортированный;BubbleSortOptimizedI отсортированный в обратном порядке;InsertionSort от 0 до 5;InsertionSort от 0 до 4000;InsertionSort почти отсортированный;InsertionSort отсортированный в обратном порядке;BubbleSort от 0 до 5;BubbleSort от 0 до 4000;BubbleSort почти отсортированный;BubbleSort отсортированный в обратном порядке;SelectionSort от 0 до 5;SelectionSort от 0 до 4000;SelectionSort почти отсортированный;SelectionSort отсортированный в обратном порядке;CountingSort от 0 до 5;CountingSort от 0 до 4000;CountingSort почти отсортированный;CountingSort отсортированный в обратном порядке;RadixSort от 0 до 5;RadixSort от 0 до 4000;RadixSort почти отсортированный;RadixSort отсортированный в обратном порядке;ShellSortCiuraSequence от 0 до 5;ShellSortCiuraSequence от 0 до 4000;ShellSortCiuraSequence почти отсортированный;ShellSortCiuraSequence отсортированный в обратном порядке;ShellSortShellSequence от 0 до 5;ShellSortShellSequence от 0 до 4000;ShellSortShellSequence почти отсортированный;ShellSortShellSequence отсортированный в обратном порядке;BubbleSortOptimizedII от 0 до 5;BubbleSortOptimizedII от 0 до 4000;BubbleSortOptimizedII почти отсортированный;BubbleSortOptimizedII отсортированный в обратном порядке;HeapSort от 0 до 5;HeapSort от 0 до 4000;HeapSort почти отсортированный;HeapSort отсортированный в обратном порядке;BinaryInsertionSort от 0 до 5;BinaryInsertionSort от 0 до 4000;BinaryInsertionSort почти отсортированный;BinaryInsertionSort отсортированный в обратном порядке;QuickSort от 0 до 5;QuickSort от 0 до 4000;QuickSort почти отсортированный;QuickSort отсортированный в обратном порядке;MergeSort от 0 до 5;MergeSort от 0 до 4000;MergeSort почти отсортированный;MergeSort отсортированный в обратном порядке
50;10840.0;11680.0;10800.0;11560.0;3560.0;3160.0;2680.0;4920.0;11000.0;11920.0;10640.0;11560.0;6360.0;6880.0;6840.0;5400.0;3640.0;31560.0;30640.0;3360.0;2800.0;6280.0;5960.0;5640.0;2360.0;3040.0;3280.0;1840.0;2240.0;3160.0;3000.0;1840.0;8840.0;10040.0;10200.0;10200.0;3560.0;3880.0;3760.0;3840.0;3840.0;5120.0;4880.0;4760.0;3080.0;3520.0;3240.0;6880.0;15760.0;15480.0;16080.0;14200.0
100;41840.0;44040.0;44280.0;45120.0;9640.0;10440.0;10240.0;18200.0;44000.0;43920.0;44280.0;44840.0;20320.0;23120.0;22600.0;19320.0;4360.0;33160.0;32320.0;5080.0;4720.0;10560.0;10560.0;10320.0;5000.0;7640.0;7320.0;3400.0;5360.0;7960.0;7360.0;3840.0;36240.0;37040.0;37120.0;39600.0;8040.0;9080.0;9080.0;8960.0;10640.0;14080.0;14320.0;15800.0;6000.0;7280.0;7840.0;25120.0;32920.0;32960.0;32400.0;28440.0
150;90240.0;96240.0;100000.0;100160.0;18080.0;21480.0;21960.0;40680.0;92440.0;96600.0;99800.0;100000.0;43480.0;47320.0;47040.0;40360.0;3520.0;32520.0;32720.0;4440.0;3560.0;11840.0;12000.0;11880.0;7040.0;12480.0;11880.0;6080.0;8240.0;12400.0;12400.0;6440.0;76080.0;83520.0;85720.0;89400.0;12800.0;15040.0;14560.0;14520.0;19040.0;26240.0;26680.0;33240.0;11360.0;12160.0;11920.0;54280.0;47000.0;47320.0;46800.0;41240.0
200;156800.0;169600.0;175960.0;178400.0;31600.0;34320.0;38480.0;70800.0;165720.0;168960.0;176040.0;176920.0;75200.0;81560.0;80760.0;70160.0;4240.0;34680.0;33080.0;5800.0;4520.0;16040.0;15760.0;15600.0;10200.0;17680.0;17720.0;7680.0;12120.0;18640.0;17920.0;8320.0;132800.0;144200.0;150720.0;157720.0;18040.0;20800.0;20560.0;20320.0;31400.0;40200.0;43040.0;56840.0;16960.0;16040.0;16800.0;95000.0;63080.0;64480.0;64320.0;55040.0
250;248440.0;267320.0;268640.0;276760.0;49600.0;53440.0;53720.0;110680.0;252600.0;265840.0;268800.0;276080.0;115600.0;122120.0;123600.0;108160.0;5440.0;34320.0;34320.0;6920.0;5680.0;19360.0;19040.0;19120.0;12560.0;23480.0;21720.0;10160.0;13400.0;23120.0;22920.0;11200.0;206040.0;228880.0;228080.0;246600.0;22720.0;27480.0;26920.0;26480.0;47560.0;58720.0;58080.0;86680.0;23320.0;21680.0;22440.0;147320.0;72240.0;77600.0;77880.0;64720.0
300;361000.0;393240.0;392680.0;397040.0;69720.0;79280.0;79000.0;158600.0;363920.0;390200.0;392080.0;397920.0;164720.0;173920.0;173680.0;154800.0;6560.0;34880.0;34960.0;8520.0;7000.0;22400.0;22120.0;22440.0;15040.0;29120.0;29520.0;12120.0;16920.0;29760.0;31480.0;14000.0;301080.0;330400.0;335880.0;355480.0;28360.0;34160.0;33720.0;33040.0;66520.0;81440.0;81840.0;122440.0;31320.0;26120.0;25920.0;210360.0;90840.0;95560.0;96680.0;82280.0
